csv_date,csv_USD_price,Date,USD_price_na,USD_price
10/2/2017,65.293297,10/4/2017,65.4431,65.4431
10/3/2017,65.571701,10/5/2017,65.019501,65.019501
10/4/2017,65.4431,10/6/2017,65.209999,65.209999
10/5/2017,65.019501,10/7/2017,#N/A,65.209999
10/6/2017,65.209999,10/8/2017,#N/A,65.209999
10/9/2017,65.4142,10/9/2017,65.4142,65.4142
10/10/2017,65.414597,10/10/2017,65.414597,65.414597
10/11/2017,65.238899,10/11/2017,65.238899,65.238899
10/12/2017,65.205399,10/12/2017,65.205399,65.205399
10/13/2017,65.045998,10/13/2017,65.045998,65.045998
10/16/2017,64.672997,10/14/2017,#N/A,65.045998
10/17/2017,64.694603,10/15/2017,#N/A,65.045998
10/18/2017,64.928703,10/16/2017,64.672997,64.672997
10/19/2017,65.0401,10/17/2017,64.694603,64.694603
10/20/2017,64.904602,10/18/2017,64.928703,64.928703
10/23/2017,65.104103,10/19/2017,65.0401,65.0401
10/24/2017,65.034897,10/20/2017,64.904602,64.904602
10/25/2017,65.079498,10/21/2017,#N/A,64.904602
10/26/2017,64.839996,10/22/2017,#N/A,64.904602
10/27/2017,64.599998,10/23/2017,65.104103,65.104103
10/30/2017,64.873398,10/24/2017,65.034897,65.034897
10/31/2017,64.8424,10/25/2017,65.079498,65.079498
11/1/2017,64.670097,10/26/2017,64.839996,64.839996
11/2/2017,64.555099,10/27/2017,64.599998,64.599998
11/3/2017,64.500504,10/28/2017,#N/A,64.599998
11/6/2017,64.693398,10/29/2017,#N/A,64.599998
11/7/2017,64.590897,10/30/2017,64.873398,64.873398
11/8/2017,65.164497,10/31/2017,64.8424,64.8424
11/9/2017,64.9105,11/1/2017,64.670097,64.670097
11/10/2017,64.968002,11/2/2017,64.555099,64.555099
11/13/2017,65.160301,11/3/2017,64.500504,64.500504
11/14/2017,65.4384,11/4/2017,#N/A,64.500504
11/15/2017,65.413399,11/5/2017,#N/A,64.500504
11/16/2017,null,11/6/2017,64.693398,64.693398
11/17/2017,65.209999,11/7/2017,64.590897,64.590897
11/20/2017,64.904999,11/8/2017,65.164497,65.164497
11/21/2017,65.025002,11/9/2017,64.9105,64.9105
11/22/2017,64.761299,11/10/2017,64.968002,64.968002
11/23/2017,64.769997,11/11/2017,#N/A,64.968002
11/24/2017,64.579399,11/12/2017,#N/A,64.968002
11/27/2017,64.544998,11/13/2017,65.160301,65.160301
11/28/2017,64.433899,11/14/2017,65.4384,65.4384
11/29/2017,64.470001,11/15/2017,65.413399,65.413399
11/30/2017,64.414803,11/16/2017,null,65.413399
12/1/2017,64.499397,11/17/2017,65.209999,65.209999
12/4/2017,64.509003,11/18/2017,#N/A,65.209999
12/5/2017,64.351402,11/19/2017,#N/A,65.209999
12/6/2017,64.356903,11/20/2017,64.904999,64.904999
12/7/2017,64.515198,11/21/2017,65.025002,65.025002
12/8/2017,64.542397,11/22/2017,64.761299,64.761299
12/11/2017,64.473,11/23/2017,64.769997,64.769997
12/12/2017,64.349998,11/24/2017,64.579399,64.579399
12/13/2017,64.550003,11/25/2017,#N/A,64.579399
12/14/2017,64.32,11/26/2017,#N/A,64.579399
12/15/2017,64.275002,11/27/2017,64.544998,64.544998
12/18/2017,64.072304,11/28/2017,64.433899,64.433899
12/19/2017,64.200104,11/29/2017,64.470001,64.470001
12/20/2017,64.0476,11/30/2017,64.414803,64.414803
12/21/2017,63.965,12/1/2017,64.499397,64.499397
12/22/2017,64.009697,12/2/2017,#N/A,64.499397
12/25/2017,64.007797,12/3/2017,#N/A,64.499397
12/26/2017,64.010498,12/4/2017,64.509003,64.509003
12/27/2017,64.028198,12/5/2017,64.351402,64.351402
12/28/2017,64.114998,12/6/2017,64.356903,64.356903
12/29/2017,64.061996,12/7/2017,64.515198,64.515198
1/1/2018,63.840801,12/8/2017,64.542397,64.542397
1/2/2018,63.867599,12/9/2017,#N/A,64.542397
1/3/2018,63.459999,12/10/2017,#N/A,64.542397
1/4/2018,63.419102,12/11/2017,64.473,64.473
1/5/2018,63.369598,12/12/2017,64.349998,64.349998
1/8/2018,63.264999,12/13/2017,64.550003,64.550003
1/9/2018,63.452,12/14/2017,64.32,64.32
1/10/2018,63.636101,12/15/2017,64.275002,64.275002
1/11/2018,63.759998,12/16/2017,#N/A,64.275002
1/12/2018,63.6721,12/17/2017,#N/A,64.275002
1/15/2018,63.588501,12/18/2017,64.072304,64.072304
1/16/2018,63.521198,12/19/2017,64.200104,64.200104
1/17/2018,63.994301,12/20/2017,64.0476,64.0476
1/18/2018,63.825001,12/21/2017,63.965,63.965
1/19/2018,63.867599,12/22/2017,64.009697,64.009697
1/22/2018,63.8321,12/23/2017,#N/A,64.009697
1/23/2018,63.8801,12/24/2017,#N/A,64.009697
1/24/2018,63.7505,12/25/2017,64.007797,64.007797
1/25/2018,63.5779,12/26/2017,64.010498,64.010498
1/26/2018,63.573101,12/27/2017,64.028198,64.028198
1/29/2018,63.57,12/28/2017,64.114998,64.114998
1/30/2018,63.669399,12/29/2017,64.061996,64.061996
1/31/2018,63.769901,12/30/2017,#N/A,64.061996
2/1/2018,63.665001,12/31/2017,#N/A,64.061996
2/2/2018,63.974998,01/1/2018,63.840801,63.840801
2/5/2018,64.1325,01/2/2018,63.867599,63.867599
2/6/2018,64.314697,01/3/2018,63.459999,63.459999
2/7/2018,63.98,01/4/2018,63.419102,63.419102
2/8/2018,64.199997,01/5/2018,63.369598,63.369598
2/9/2018,64.440498,01/6/2018,#N/A,63.369598
2/12/2018,64.211304,01/7/2018,#N/A,63.369598
2/13/2018,64.283501,01/8/2018,63.264999,63.264999
2/14/2018,64.250099,01/9/2018,63.452,63.452
2/15/2018,64.0252,01/10/2018,63.636101,63.636101
2/16/2018,63.8909,01/11/2018,63.759998,63.759998
2/19/2018,64.379997,01/12/2018,63.6721,63.6721
2/20/2018,64.504997,01/13/2018,#N/A,63.6721
2/21/2018,64.864998,01/14/2018,#N/A,63.6721
2/22/2018,64.894997,01/15/2018,63.588501,63.588501
2/23/2018,64.951401,01/16/2018,63.521198,63.521198
2/26/2018,64.703003,01/17/2018,63.994301,63.994301
2/27/2018,64.780403,01/18/2018,63.825001,63.825001
2/28/2018,64.910004,01/19/2018,63.867599,63.867599
3/1/2018,65.239998,01/20/2018,#N/A,63.867599
3/2/2018,65.150002,01/21/2018,#N/A,63.867599
3/5/2018,65.186699,01/22/2018,63.8321,63.8321
3/6/2018,65.0037,01/23/2018,63.8801,63.8801
3/7/2018,64.889999,01/24/2018,63.7505,63.7505
3/8/2018,64.891197,01/25/2018,63.5779,63.5779
3/9/2018,65.090401,01/26/2018,63.573101,63.573101
3/12/2018,64.964897,01/27/2018,#N/A,63.573101
3/13/2018,64.945503,01/28/2018,#N/A,63.573101
3/14/2018,64.828102,01/29/2018,63.57,63.57
3/15/2018,64.8368,01/30/2018,63.669399,63.669399
3/16/2018,65.014397,01/31/2018,63.769901,63.769901
3/19/2018,65.065002,02/1/2018,63.665001,63.665001
3/20/2018,65.210098,02/2/2018,63.974998,63.974998
3/21/2018,65.232399,02/3/2018,#N/A,63.974998
3/22/2018,65.065598,02/4/2018,#N/A,63.974998
3/23/2018,65.160004,02/5/2018,64.1325,64.1325
3/26/2018,65.014999,02/6/2018,64.314697,64.314697
3/27/2018,64.695,02/7/2018,63.98,63.98
3/28/2018,64.8955,02/8/2018,64.199997,64.199997
3/29/2018,65.1492,02/9/2018,64.440498,64.440498
3/30/2018,65.029999,02/10/2018,#N/A,64.440498
4/2/2018,65.105499,02/11/2018,#N/A,64.440498
4/3/2018,65.139999,02/12/2018,64.211304,64.211304
4/4/2018,64.904999,02/13/2018,64.283501,64.283501
4/5/2018,64.995003,02/14/2018,64.250099,64.250099
4/6/2018,64.861504,02/15/2018,64.0252,64.0252
4/9/2018,64.904503,02/16/2018,63.8909,63.8909
4/10/2018,64.870003,02/17/2018,#N/A,63.8909
4/11/2018,64.925301,02/18/2018,#N/A,63.8909
4/12/2018,65.190002,02/19/2018,64.379997,64.379997
4/13/2018,65.275703,02/20/2018,64.504997,64.504997
4/16/2018,65.195602,02/21/2018,64.864998,64.864998
4/17/2018,65.429298,02/22/2018,64.894997,64.894997
4/18/2018,65.675003,02/23/2018,64.951401,64.951401
4/19/2018,66.010002,02/24/2018,#N/A,64.951401
4/20/2018,66.114799,02/25/2018,#N/A,64.951401
4/23/2018,66.196899,02/26/2018,64.703003,64.703003
4/24/2018,66.544998,02/27/2018,64.780403,64.780403
4/25/2018,66.414101,02/28/2018,64.910004,64.910004
4/26/2018,66.9077,03/1/2018,65.239998,65.239998
4/27/2018,66.900002,03/2/2018,65.150002,65.150002
4/30/2018,66.610001,03/3/2018,#N/A,65.150002
5/1/2018,66.449997,03/4/2018,#N/A,65.150002
5/2/2018,66.788696,03/5/2018,65.186699,65.186699
5/3/2018,67.080002,03/6/2018,65.0037,65.0037
5/4/2018,66.660004,03/7/2018,64.889999,64.889999
5/7/2018,66.810501,03/8/2018,64.891197,64.891197
5/8/2018,67.118797,03/9/2018,65.090401,65.090401
5/9/2018,67.162498,03/10/2018,#N/A,65.090401
5/10/2018,67.620003,03/11/2018,#N/A,65.090401
5/11/2018,67.389999,03/12/2018,64.964897,64.964897
5/14/2018,67.382202,03/13/2018,64.945503,64.945503
5/15/2018,67.678001,03/14/2018,64.828102,64.828102
